id,action_flow_id,action_flow_des,intention_1,intention_2,act_seq_start,act_seq_end,scene
2NZ5C,c155 0.00 14.50;c001 10.80 16.60;c148 11.10 33.0;c000 11.40 23.00;c002 11.90 18.20,Someone is undressing;Putting clothes somewhere;Someone is dressing;Holding some clothes;Taking some clothes from somewhere,take off a shirt and wear another one;S/He wants to change clothes,change the clothes;S/He wants to get dressed,0.00,33.00,Stairs
R00LO,c063 15.70 21.20;c061 20.30 33.00;c118 21.70 33.00;c067 21.70 33.00;c120 21.70 33.00;c065 23.90 33.00;c156 24.20 31.30,Taking food from somewhere;Holding some food;Holding a dish;Holding a sandwich;Taking a dish/es from somewhere;Eating a sandwich;Someone is eating something,eat a sandwich;S/He is hungry,eat food;S/He is hungry,15.70,33.00,Kitchen
V3SOF,c110 0.40 6.40;c119 0.40 15.3;c118 0.70 13.1;c120 5.80 13.80;c143 20.00 28.20;c142 32.50 38.90,Taking a cup/glass/bottle from somewhere;Putting a dish/es somewhere;Holding a dish;Taking a dish/es from somewhere;Opening a refrigerator;Closing a refrigerator,clean the kitchen;S/He wants to prepare the meal,arrange the dishes;S/He wants to clean the kitchen,0.40,38.90,Kitchen
X2LBW,c009 41.60 51.00;c014 48.40 56.80;c011 49.10 59.90;c010 49.10 59.90;c154 49.40 62.60,Putting something on a table;Working at a table;Sitting at a table;Sitting on a table;Someone is standing up from somewhere,read a book;S/He wants to learn something new,read some books at a table;S/He wants to do their job,41.60,62.60,Bedroom
KIJG4,c053 0.00 5.80;c058 1.10 5.70;c055 2.40 12.00;c148 2.50 11.40,Holding a shoe/shoes;Throwing shoes somewhere;Putting on shoe/shoes;Someone is dressing,look in the mirror and wear shoes;S/He wants to get dressed,wear shoes;S/He wants to get dressed,0.00,12.00,Bedroom
ZAO65,c061 0.00 28.00;c107 4.60 11.40;c106 7.30 14.10;c156 7.90 13.80,Holding some food;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Someone is eating something,eat a something and drink water;S/He is hungry,hold a cup of something and eat something;S/He is hungry and thirsty,0.00,28.00,Garage
UD0P0,c108 0.00 3.80;c109 0.00 9.4;c107 0.00 34.00;c108 0.00 34.00;c106 1.10 6.10;c107 2.00 9.00;c108 6.00 12.00;c107 9.00 15.00;c110 12.00 18.30,Pouring something into a cup/glass/bottle;Putting a cup/glass/bottle somewhere;Holding a cup/glass/bottle of something;Pouring something into a cup/glass/bottle;Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Pouring something into a cup/glass/bottle;Holding a cup/glass/bottle of something;Taking a cup/glass/bottle from somewhere,drink some water;S/He is thirsty,drink water;S/He is thirsty,0.00,34.00,Living room
X3ASU,c030 2.10 9.40;c027 2.10 14.90;c026 2.30 32.60;c025 12.10 17.90;c032 26.00 31.20;c028 28.60 33.30,Taking a book from somewhere;Opening a book;Holding a book;Closing a book;Watching/Reading/Looking at a book;Putting a book somewhere,read a book;S/He wants to do some reading,read book;S/He wants to relax,2.10,33.30,Home Office / Study (A room in a house used for work)
QX89T,c018 14.70 20.30;c016 15.50 33.00;c015 15.60 33.00;c087 20.10 33.00,Taking a phone/camera from somewhere;Playing with a phone/camera;Holding a phone/camera;Taking a picture of something,take pictures with mobile phone;S/He wants to take pictures,play with a phone;S/He wants to take a photograph of himself/her/hisself,14.70,33.00,Bedroom
UHDEF,c035 1.30 6.80;c037 1.80 7.60;c033 2.10 7.40;c034 2.90 7.80,Taking a towel/s from somewhere;Tidying up a towel/s;Holding a towel/s;Putting a towel/s somewhere,take a towel from bed;S/He wants to clean the bed,tidy up towels;S/He wants to tidy up the room,1.30,7.80,Bedroom
